序号,特征列名,中文名称,含义说明,取值说明/范围,数据类型,单位
1,age,年龄,患者的年龄，以年为单位,29-77岁,整数,无
2,sex,性别,患者的性别分类,0: 女性; 1: 男性,分类变量,无
3,cp,胸痛类型,患者经历的胸痛类型,0: 典型心绞痛; 1: 非典型心绞痛; 2: 非心绞痛; 3: 无症状,分类变量,无
4,trestbps,静息血压,患者在静息状态下的血压值,94-200 mm Hg,整数,毫米汞柱 (mm Hg)
5,chol,血清胆固醇,患者血清中的胆固醇含量,126-564 mg/dl,整数,毫克/分升 (mg/dl)
6,fbs,空腹血糖,患者空腹时的血糖水平,0: 空腹血糖 ≤ 120 mg/dl（正常）; 1: 空腹血糖 > 120 mg/dl（异常）,分类变量,无
7,restecg,静息心电图结果,患者在静息状态下的心电图检查结果,0: 正常; 1: 有ST-T波异常（T波倒置和/或ST段抬高或压低>0.05mV）; 2: 根据Estes标准显示可能或明确的左心室肥大,分类变量,无
8,thalach,最大心率,患者在运动测试中达到的最大心率,71-202 bpm,整数,次/分钟 (bpm)
9,exang,运动诱发心绞痛,患者在运动过程中是否诱发心绞痛,0: 否; 1: 是,分类变量,无
10,oldpeak,ST段压低,相对于休息状态，运动引起的ST段压低程度,0.0-6.2 mm,浮点数,毫米 (mm)
11,slope,ST段峰值斜率,运动应力测试中ST段峰值的斜率,0: 上坡; 1: 平坦; 2: 下坡,分类变量,无
12,ca,荧光检查染色的主要血管数量,通过荧光检查显示的被染色的主要血管数量（0-4）,0: 0支血管染色; 1: 1支血管染色; 2: 2支血管染色; 3: 3支血管染色; 4: 4支血管染色,分类变量,无
13,thal,地中海贫血症,患者的地中海贫血症状态,0: 正常; 1: 固定缺陷; 2: 可逆缺陷; 3: 未知/其他,分类变量,无
14,target,心脏病诊断结果,患者是否被诊断出患有心脏病,0: 无心脏病; 1: 有心脏病,目标变量（分类）,无
